enrollee_id,city_development_index,gender,relevent_experience,education_level,major_discipline,experience,last_new_job,training_hours,target
29725,0.7759999999999999,Male,No relevent experience,Graduate,STEM,15,>4,47,0
666,0.767,Male,Has relevent experience,Masters,STEM,>20,4,8,0
23853,0.92,Male,Has relevent experience,Graduate,STEM,5,1,108,0
25619,0.9129999999999999,Male,Has relevent experience,Graduate,STEM,>20,3,23,0
6588,0.9259999999999999,Male,Has relevent experience,Graduate,STEM,16,>4,18,0
31972,0.843,Male,Has relevent experience,Masters,STEM,11,1,68,0
19061,0.9259999999999999,Male,Has relevent experience,Masters,STEM,11,2,50,0
7041,0.7759999999999999,Male,Has relevent experience,Graduate,Humanities,<1,1,65,0
28476,0.92,Male,Has relevent experience,Graduate,Arts,5,2,72,0
14928,0.92,Male,Has relevent experience,Graduate,STEM,>20,3,40,0
22293,0.92,Male,Has relevent experience,Graduate,STEM,19,>4,141,0
4324,0.92,Female,No relevent experience,Graduate,STEM,5,1,24,0
26966,0.92,Female,Has relevent experience,Graduate,STEM,>20,>4,82,0
26494,0.91,Male,Has relevent experience,Graduate,Business Degree,12,3,145,0
4866,0.92,Male,Has relevent experience,Graduate,STEM,10,2,206,0
2547,0.9259999999999999,Female,Has relevent experience,Masters,STEM,16,2,14,0
25103,0.9229999999999999,Male,Has relevent experience,Graduate,STEM,11,1,21,0
2195,0.6659999999999999,Male,Has relevent experience,Graduate,STEM,10,2,102,0
12253,0.924,Male,Has relevent experience,Graduate,STEM,>20,1,45,0
25296,0.754,Male,Has relevent experience,Graduate,STEM,2,2,52,0
13238,0.92,Male,Has relevent experience,Graduate,STEM,>20,2,19,0
26516,0.9390000000000001,Male,Has relevent experience,Graduate,STEM,6,3,25,0
8433,0.887,Male,Has relevent experience,Masters,Humanities,>20,>4,48,0
25695,0.855,Other,No relevent experience,Masters,Humanities,4,4,13,0
9645,0.91,Male,Has relevent experience,Graduate,STEM,15,>4,47,0
12730,0.91,Female,Has relevent experience,Masters,Humanities,14,1,28,0
20970,0.6659999999999999,Male,Has relevent experience,Graduate,STEM,>20,4,22,0
12731,0.8270000000000001,Male,Has relevent experience,Graduate,STEM,2,1,29,0
10908,0.855,Male,Has relevent experience,Masters,STEM,5,1,46,0
22683,0.893,Male,Has relevent experience,Masters,STEM,5,2,65,0
